N,Time (ms)
1510,12402
1511,12402
1512,12402
1513,12402
1514,12402
1515,12441
1516,12441
1517,12441
1518,12441
1519,12480
1520,12441
1521,12480
1522,12480
1523,12519
1524,12480
1525,12519
1526,12519
1527,12519
1528,12558
1529,12558
1530,12558
1531,12558
1532,12558
1533,12597
1534,12558
1535,12597
1536,12597
1537,12636
1538,12597
1539,12636
1540,12636
1541,12636
1542,12675
1543,12636
1544,12675
1545,12675
1546,12675
1547,12675
1548,12714
1549,12714
1550,12714
1551,12714
1552,12753
1553,12753
1554,12753
1555,12753
1556,12753
1557,12792
1558,12753
1559,12792
1560,12792
1561,12831
1562,12792
1563,12831
1564,12831
1565,12831
1566,12870
1567,12870
1568,12870
1569,12870
1570,12870
1571,12909
1572,12909
1573,12909
1574,12870
1575,12948
1576,12948
1577,12948
1578,12948
1579,12987
1580,12987
1581,12987
1582,12987
1583,13026
1584,13026
1585,13026
1586,13026
1587,13065
1588,13026
1589,13065
1590,13065
1591,13065
1592,13065
1593,13104
1594,13065
1595,13104
1596,13143
1597,13104
1598,13143
1599,13143
1600,13143
1601,13143
1602,13182
1603,13182
1604,13182
1605,13182
1606,13221
1607,13221
1608,13221
1609,13221
1610,13221
1611,13221
1612,13260
1613,13260
1614,13260
1615,13260
1616,13260
1617,13260
1618,13299
1619,13299
1620,13299
1621,13299
1622,13299
1623,13338
1624,16575
1625,13377
1626,13377
1627,13650
1628,13377
1629,13377
1630,13377
1631,13377
1632,13416
1633,13416
1634,13377
1635,13455
1636,13455
1637,13455
1638,13455
1639,13455
1640,13455
1641,13494
1642,13533
1643,13533
1644,13533
1645,13494
1646,13533
1647,13533
1648,13572
1649,13572
1650,13533
1651,13572
1652,13572
1653,13611
1654,13611
1655,13572
1656,13611
1657,13611
1658,13611
1659,13611
1660,13650
1661,13650
1662,13650
1663,13689
1664,13650
1665,13689
1666,13728
1667,13650
1668,13689
1669,13689
1670,13728
1671,13728
1672,13728
1673,13728
1674,13767
1675,13728
1676,13806
1677,13806
1678,13806
1679,13767
1680,13806
1681,13806
1682,13767
1683,13845
1684,13845
1685,13845
1686,13845
1687,13845
1688,13845
1689,13845
1690,13884
1691,13884
1692,13884
1693,13884
1694,13923
1695,13923
1696,13923
1697,13923
1698,13962
1699,13962
1700,13962
1701,13962
1702,14001
1703,13962
1704,14001
1705,14001
1706,14001
1707,14040
1708,14001
1709,14040
1710,14040
1711,14040
1712,14079
1713,14079
1714,14040
1715,14118
1716,14118
1717,14118
1718,14118
1719,14118
1720,14118
1721,14157
1722,14157
1723,14157
1724,14196
1725,14157
1726,14157
1727,14196
1728,14196
1729,14235
1730,14196
1731,14235
1732,14235
1733,14235
1734,14235
1735,14235
1736,14274
1737,14274
1738,14274
1739,14274
1740,14313
1741,14313
1742,14313
1743,14352
1744,14352
1745,14313
1746,14313
1747,14352
1748,14391
1749,14391
1750,14352
1751,14391
1752,14391
1753,14430
1754,14391
1755,14391
1756,14430
1757,14430
1758,14430
1759,14469
1760,14469
1761,14469
1762,14508
1763,14508
1764,14508
1765,14508
1766,14508
1767,14508
1768,14508
1769,14547
1770,14508
1771,14547
1772,14547
1773,14547
1774,14586
1775,14547
1776,14586
1777,14586
1778,14625
1779,14586
1780,14625
1781,14625
1782,14625
1783,14625
1784,14664
1785,14664
1786,14664
1787,14664
1788,14703
1789,14703
1790,14703
1791,14703
1792,14703
1793,14742
1794,14742
1795,14742
1796,14742
1797,14781
1798,14781
1799,14781
1800,14781
1801,14820
1802,14781
1803,14820
1804,14781
1805,14820
1806,14859
1807,14820
1808,14859
1809,14859
1810,14859
1811,14898
1812,14898
1813,14898
1814,14898
1815,14937
1816,14937
1817,14898
1818,14937
1819,14937
1820,14976
1821,14976
1822,14976
1823,14976
1824,14976
1825,14976
1826,15015
1827,15015
1828,15015
1829,15015
1830,15015
1831,15054
1832,15054
1833,15054
1834,15054
1835,15054
1836,15093
1837,15093
1838,15132
1839,15132
1840,15093
1841,15132
1842,15093
1843,15132
1844,15171
1845,15171
1846,15171
1847,15171
1848,15171
1849,15210
1850,15210
1851,15210
1852,15210
1853,15210
1854,15210
1855,15249
1856,15249
1857,15249
1858,15288
1859,15288
1860,15288
1861,15288
1862,15288
1863,15288
1864,15327
1865,15288
1866,15327
1867,15366
1868,15327
1869,15366
1870,15366
1871,15366
1872,15366
1873,15405
1874,15405
1875,15405
1876,15405
1877,15444
1878,18642
1879,15405
1880,15444
1881,15444
1882,15483
1883,15444
1884,15483
1885,15444
1886,15522
1887,15522
1888,15483
1889,15522
1890,15522
1891,15561
1892,15522
1893,15561
1894,15522
1895,15561
1896,15561
1897,15600
1898,15561
1899,15600
1900,15639
1901,15639
1902,15600
1903,15639
1904,15639
1905,15639
1906,15639
1907,15678
1908,15678
1909,15678
1910,15678
1911,15678
1912,15717
1913,15717
1914,15717
1915,15717
1916,15717
1917,15756
1918,15717
1919,15756
1920,15756
1921,15795
1922,15795
1923,15795
1924,15795
1925,15795
1926,15834
1927,15834
1928,15834
1929,15834
1930,15834
1931,15873
1932,15873
1933,15873
1934,15912
1935,15912
1936,15912
1937,15912
1938,15951
1939,15912
1940,15951
1941,15912
1942,15951
1943,15990
1944,15951
1945,15990
1946,15990
1947,16029
1948,16029
1949,16029
1950,15990
1951,16029
1952,16029
1953,16068
1954,16068
1955,16068
1956,16068
1957,16107
1958,16068
1959,16107
1960,16107
1961,16146
1962,16107
1963,16107
1964,16146
1965,16146
1966,16185
1967,16146
1968,16185
1969,16185
1970,16185
1971,16185
1972,16224
1973,19188
1974,20397
1975,18603
1976,17589
1977,17472
1978,20553
1979,20553
1980,16458
1981,18759
1982,20475
1983,19266
1984,16380
1985,16419
1986,16419
1987,16419
1988,16458
1989,16458
1990,16419
1991,16458
1992,16497
1993,16458
1994,16497
1995,16497
1996,16497
1997,16497
1998,16536
1999,16497
2000,16536
2001,16536
2002,16536
2003,16536
2004,16575
2005,16575
2006,16575
2007,16614
2008,16575
